nohup: ignoring input

===== Training mlp_pooled =====
Epoch 001 | train_loss=0.769134 | val_loss=0.687634 | val_rmse=1.255978 | lr=1.00e-03
Epoch 002 | train_loss=0.753182 | val_loss=0.682578 | val_rmse=1.251351 | lr=1.00e-03
Epoch 003 | train_loss=0.750745 | val_loss=0.694710 | val_rmse=1.262423 | lr=1.00e-03
Epoch 004 | train_loss=0.747007 | val_loss=0.682248 | val_rmse=1.251049 | lr=1.00e-03
Epoch 005 | train_loss=0.745427 | val_loss=0.679982 | val_rmse=1.248969 | lr=1.00e-03
Epoch 006 | train_loss=0.745811 | val_loss=0.684325 | val_rmse=1.252952 | lr=1.00e-03
Epoch 007 | train_loss=0.743647 | val_loss=0.677924 | val_rmse=1.247078 | lr=1.00e-03
Epoch 008 | train_loss=0.743200 | val_loss=0.684215 | val_rmse=1.252851 | lr=1.00e-03
Epoch 009 | train_loss=0.743514 | val_loss=0.684335 | val_rmse=1.252961 | lr=1.00e-03
Epoch 010 | train_loss=0.742902 | val_loss=0.689782 | val_rmse=1.257938 | lr=1.00e-03
Epoch 011 | train_loss=0.742743 | val_loss=0.682892 | val_rmse=1.251639 | lr=1.00e-03
Epoch 012 | train_loss=0.740460 | val_loss=0.679612 | val_rmse=1.248630 | lr=1.00e-03
Epoch 013 | train_loss=0.740722 | val_loss=0.679433 | val_rmse=1.248465 | lr=5.00e-04
Epoch 014 | train_loss=0.738158 | val_loss=0.681659 | val_rmse=1.250508 | lr=5.00e-04
Epoch 015 | train_loss=0.738127 | val_loss=0.674157 | val_rmse=1.243608 | lr=5.00e-04
Epoch 016 | train_loss=0.738639 | val_loss=0.676655 | val_rmse=1.245910 | lr=5.00e-04
Epoch 017 | train_loss=0.738765 | val_loss=0.676797 | val_rmse=1.246041 | lr=5.00e-04
Epoch 018 | train_loss=0.738906 | val_loss=0.676480 | val_rmse=1.245749 | lr=5.00e-04
Epoch 019 | train_loss=0.738265 | val_loss=0.674032 | val_rmse=1.243493 | lr=5.00e-04
Epoch 020 | train_loss=0.737169 | val_loss=0.675953 | val_rmse=1.245264 | lr=5.00e-04
Epoch 021 | train_loss=0.737507 | val_loss=0.676390 | val_rmse=1.245667 | lr=5.00e-04
Epoch 022 | train_loss=0.735632 | val_loss=0.675475 | val_rmse=1.244823 | lr=5.00e-04
Epoch 023 | train_loss=0.735884 | val_loss=0.677305 | val_rmse=1.246508 | lr=5.00e-04
Epoch 024 | train_loss=0.736515 | val_loss=0.675565 | val_rmse=1.244906 | lr=5.00e-04
Epoch 025 | train_loss=0.736939 | val_loss=0.677973 | val_rmse=1.247123 | lr=2.50e-04
Epoch 026 | train_loss=0.734342 | val_loss=0.673855 | val_rmse=1.243330 | lr=2.50e-04
Epoch 027 | train_loss=0.735886 | val_loss=0.678097 | val_rmse=1.247237 | lr=2.50e-04
Epoch 028 | train_loss=0.734025 | val_loss=0.672567 | val_rmse=1.242141 | lr=2.50e-04
Epoch 029 | train_loss=0.734360 | val_loss=0.671879 | val_rmse=1.241505 | lr=2.50e-04
Epoch 030 | train_loss=0.734806 | val_loss=0.671721 | val_rmse=1.241360 | lr=2.50e-04
Epoch 031 | train_loss=0.735923 | val_loss=0.672758 | val_rmse=1.242318 | lr=2.50e-04
Epoch 032 | train_loss=0.733300 | val_loss=0.672693 | val_rmse=1.242257 | lr=2.50e-04
Epoch 033 | train_loss=0.735324 | val_loss=0.673454 | val_rmse=1.242960 | lr=2.50e-04
Epoch 034 | train_loss=0.733895 | val_loss=0.675344 | val_rmse=1.244702 | lr=2.50e-04
Epoch 035 | train_loss=0.735373 | val_loss=0.672582 | val_rmse=1.242155 | lr=2.50e-04
Epoch 036 | train_loss=0.733335 | val_loss=0.675204 | val_rmse=1.244573 | lr=1.25e-04
Epoch 037 | train_loss=0.734329 | val_loss=0.673613 | val_rmse=1.243106 | lr=1.25e-04
Epoch 038 | train_loss=0.733184 | val_loss=0.673206 | val_rmse=1.242731 | lr=1.25e-04
Epoch 039 | train_loss=0.733801 | val_loss=0.673367 | val_rmse=1.242880 | lr=1.25e-04
Epoch 040 | train_loss=0.733773 | val_loss=0.673925 | val_rmse=1.243394 | lr=1.25e-04
Epoch 041 | train_loss=0.734236 | val_loss=0.673861 | val_rmse=1.243336 | lr=1.25e-04
Epoch 042 | train_loss=0.732600 | val_loss=0.673224 | val_rmse=1.242747 | lr=6.25e-05
Epoch 043 | train_loss=0.732628 | val_loss=0.673371 | val_rmse=1.242883 | lr=6.25e-05
