nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 001 | train_loss=0.782825 | val_loss=0.612941 | val_rmse=1.185803 | lr=1.00e-03
Epoch 002 | train_loss=0.657682 | val_loss=0.570384 | val_rmse=1.143896 | lr=1.00e-03
Epoch 003 | train_loss=0.623355 | val_loss=0.543628 | val_rmse=1.116745 | lr=1.00e-03
Epoch 004 | train_loss=0.599623 | val_loss=0.518168 | val_rmse=1.090281 | lr=1.00e-03
Epoch 005 | train_loss=0.582660 | val_loss=0.518530 | val_rmse=1.090662 | lr=1.00e-03
Epoch 006 | train_loss=0.571940 | val_loss=0.494067 | val_rmse=1.064624 | lr=1.00e-03
Epoch 007 | train_loss=0.559448 | val_loss=0.500583 | val_rmse=1.071621 | lr=1.00e-03
Epoch 008 | train_loss=0.550359 | val_loss=0.504864 | val_rmse=1.076193 | lr=1.00e-03
Epoch 009 | train_loss=0.547599 | val_loss=0.472103 | val_rmse=1.040690 | lr=1.00e-03
Epoch 010 | train_loss=0.542234 | val_loss=0.466587 | val_rmse=1.034593 | lr=1.00e-03
Epoch 011 | train_loss=0.535824 | val_loss=0.464070 | val_rmse=1.031798 | lr=1.00e-03
Epoch 012 | train_loss=0.531616 | val_loss=0.445988 | val_rmse=1.011497 | lr=1.00e-03
Epoch 013 | train_loss=0.526666 | val_loss=0.445651 | val_rmse=1.011115 | lr=1.00e-03
Epoch 014 | train_loss=0.523122 | val_loss=0.445726 | val_rmse=1.011200 | lr=1.00e-03
Epoch 015 | train_loss=0.517686 | val_loss=0.447816 | val_rmse=1.013568 | lr=1.00e-03
Epoch 016 | train_loss=0.514616 | val_loss=0.454126 | val_rmse=1.020684 | lr=1.00e-03
Epoch 017 | train_loss=0.512365 | val_loss=0.433366 | val_rmse=0.997081 | lr=1.00e-03
Epoch 018 | train_loss=0.509016 | val_loss=0.432010 | val_rmse=0.995520 | lr=1.00e-03
Epoch 019 | train_loss=0.504536 | val_loss=0.440150 | val_rmse=1.004855 | lr=1.00e-03
Epoch 020 | train_loss=0.500930 | val_loss=0.427987 | val_rmse=0.990874 | lr=1.00e-03
Epoch 021 | train_loss=0.500495 | val_loss=0.429481 | val_rmse=0.992602 | lr=1.00e-03
Epoch 022 | train_loss=0.494519 | val_loss=0.426634 | val_rmse=0.989306 | lr=1.00e-03
Epoch 023 | train_loss=0.490798 | val_loss=0.426122 | val_rmse=0.988713 | lr=1.00e-03
Epoch 024 | train_loss=0.488921 | val_loss=0.427311 | val_rmse=0.990091 | lr=1.00e-03
Epoch 025 | train_loss=0.486356 | val_loss=0.421389 | val_rmse=0.983207 | lr=1.00e-03
Epoch 026 | train_loss=0.484764 | val_loss=0.414519 | val_rmse=0.975159 | lr=1.00e-03
