nohup: ignoring input

===== Training qnn_pooled =====
Epoch 001 | train_loss=0.879042 | val_loss=0.754261 | val_rmse=1.315418 | lr=1.00e-03
Epoch 002 | train_loss=0.791209 | val_loss=0.723864 | val_rmse=1.288640 | lr=1.00e-03
Epoch 003 | train_loss=0.771895 | val_loss=0.699548 | val_rmse=1.266811 | lr=1.00e-03
Epoch 004 | train_loss=0.765286 | val_loss=0.698255 | val_rmse=1.265640 | lr=1.00e-03
Epoch 005 | train_loss=0.756936 | val_loss=0.694369 | val_rmse=1.262113 | lr=1.00e-03
Epoch 006 | train_loss=0.752448 | val_loss=0.698333 | val_rmse=1.265711 | lr=1.00e-03
Epoch 007 | train_loss=0.750942 | val_loss=0.700858 | val_rmse=1.267997 | lr=1.00e-03
Epoch 008 | train_loss=0.747880 | val_loss=0.685349 | val_rmse=1.253889 | lr=1.00e-03
Epoch 009 | train_loss=0.746336 | val_loss=0.683231 | val_rmse=1.251949 | lr=1.00e-03
Epoch 010 | train_loss=0.745049 | val_loss=0.683792 | val_rmse=1.252464 | lr=1.00e-03
Epoch 011 | train_loss=0.744045 | val_loss=0.680842 | val_rmse=1.249759 | lr=1.00e-03
Epoch 012 | train_loss=0.744583 | val_loss=0.682663 | val_rmse=1.251429 | lr=1.00e-03
Epoch 013 | train_loss=0.742968 | val_loss=0.688140 | val_rmse=1.256440 | lr=1.00e-03
Epoch 014 | train_loss=0.743326 | val_loss=0.682292 | val_rmse=1.251089 | lr=1.00e-03
Epoch 015 | train_loss=0.741584 | val_loss=0.676104 | val_rmse=1.245403 | lr=1.00e-03
Epoch 016 | train_loss=0.742269 | val_loss=0.675593 | val_rmse=1.244932 | lr=1.00e-03
Epoch 017 | train_loss=0.741672 | val_loss=0.677419 | val_rmse=1.246614 | lr=1.00e-03
Epoch 018 | train_loss=0.743124 | val_loss=0.677554 | val_rmse=1.246738 | lr=1.00e-03
Epoch 019 | train_loss=0.741637 | val_loss=0.683464 | val_rmse=1.252163 | lr=1.00e-03
Epoch 020 | train_loss=0.742028 | val_loss=0.678800 | val_rmse=1.247884 | lr=1.00e-03
Epoch 021 | train_loss=0.741255 | val_loss=0.681276 | val_rmse=1.250158 | lr=1.00e-03
Epoch 022 | train_loss=0.741533 | val_loss=0.674892 | val_rmse=1.244286 | lr=1.00e-03
Epoch 023 | train_loss=0.741374 | val_loss=0.675694 | val_rmse=1.245026 | lr=1.00e-03
Epoch 024 | train_loss=0.739888 | val_loss=0.681690 | val_rmse=1.250537 | lr=1.00e-03
Epoch 025 | train_loss=0.740686 | val_loss=0.676180 | val_rmse=1.245473 | lr=1.00e-03
Epoch 026 | train_loss=0.740616 | val_loss=0.679133 | val_rmse=1.248190 | lr=1.00e-03
Epoch 027 | train_loss=0.740172 | val_loss=0.680020 | val_rmse=1.249004 | lr=1.00e-03
Epoch 028 | train_loss=0.740462 | val_loss=0.678045 | val_rmse=1.247190 | lr=5.00e-04
Epoch 029 | train_loss=0.737020 | val_loss=0.683465 | val_rmse=1.252164 | lr=5.00e-04
Epoch 030 | train_loss=0.737644 | val_loss=0.675899 | val_rmse=1.245214 | lr=5.00e-04
Epoch 031 | train_loss=0.737730 | val_loss=0.673094 | val_rmse=1.242628 | lr=5.00e-04
Epoch 032 | train_loss=0.736960 | val_loss=0.678557 | val_rmse=1.247660 | lr=5.00e-04
Epoch 033 | train_loss=0.736229 | val_loss=0.673681 | val_rmse=1.243169 | lr=5.00e-04
Epoch 034 | train_loss=0.737306 | val_loss=0.674726 | val_rmse=1.244133 | lr=5.00e-04
Epoch 035 | train_loss=0.737936 | val_loss=0.674024 | val_rmse=1.243486 | lr=5.00e-04
Epoch 036 | train_loss=0.737507 | val_loss=0.676383 | val_rmse=1.245660 | lr=5.00e-04
Epoch 037 | train_loss=0.736527 | val_loss=0.675796 | val_rmse=1.245119 | lr=2.50e-04
Epoch 038 | train_loss=0.734821 | val_loss=0.677017 | val_rmse=1.246244 | lr=2.50e-04
Epoch 039 | train_loss=0.734491 | val_loss=0.677420 | val_rmse=1.246614 | lr=2.50e-04
Epoch 040 | train_loss=0.735075 | val_loss=0.674850 | val_rmse=1.244247 | lr=2.50e-04
Epoch 041 | train_loss=0.735450 | val_loss=0.673889 | val_rmse=1.243361 | lr=2.50e-04
Epoch 042 | train_loss=0.734688 | val_loss=0.674465 | val_rmse=1.243892 | lr=2.50e-04
Epoch 043 | train_loss=0.735715 | val_loss=0.673067 | val_rmse=1.242602 | lr=1.25e-04
Epoch 044 | train_loss=0.732624 | val_loss=0.674091 | val_rmse=1.243548 | lr=1.25e-04
Epoch 045 | train_loss=0.734045 | val_loss=0.674362 | val_rmse=1.243797 | lr=1.25e-04
Epoch 046 | train_loss=0.733917 | val_loss=0.675036 | val_rmse=1.244419 | lr=1.25e-04
Epoch 047 | train_loss=0.734600 | val_loss=0.673840 | val_rmse=1.243316 | lr=1.25e-04
Epoch 048 | train_loss=0.733014 | val_loss=0.675467 | val_rmse=1.244816 | lr=1.25e-04
Epoch 049 | train_loss=0.734097 | val_loss=0.673839 | val_rmse=1.243315 | lr=6.25e-05
Epoch 050 | train_loss=0.733391 | val_loss=0.674193 | val_rmse=1.243642 | lr=6.25e-05
Epoch 051 | train_loss=0.732409 | val_loss=0.674839 | val_rmse=1.244237 | lr=6.25e-05
Epoch 052 | train_loss=0.733160 | val_loss=0.673973 | val_rmse=1.243438 | lr=6.25e-05
